GEL-Breast_common_SBS13	GEL-Breast_common_SBS5	GEL-Breast_common_SBS8	GEL-Breast_common_SBS2	GEL-Breast_common_SBS3	GEL-Breast_common_SBS18	GEL-Breast_common_SBS1	GEL-Breast_common_SBS127	GEL-Breast_common_SBS17	GEL-Breast_rare_SBS44	GEL-Breast_rare_SBS6	GEL-Breast_rare_SBS26	GEL-Breast_rare_SBS57	GEL-Breast_rare_SBS116	GEL-Breast_rare_SBS7a	GEL-Breast_rare_SBS96	GEL-Breast_rare_SBS30	GEL-Breast_rare_SBS87	GEL-Breast_rare_SBS94	GEL-Breast_rare_SBS4	GEL-Breast_rare_SBS124	GEL-Breast_rare_SBS105	GEL-Breast_rare_SBS31	GEL-Breast_rare_SBS23+114	GEL-Breast_rare_SBS33+114	GEL-Breast_rare_SBS136	GEL-Breast_rare_SBS123	GEL-Breast_rare_SBS114	unassigned
GEL-2240986-11	0	377.649267399267	151.962454212454	0	197.601343101343	0	669.03601953602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246.750915750916
GEL-2941766-11	0	580.644673250683	0	174.243328430343	0	0	651.040974994747	287.077117041395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682.993906282832
GEL-2480243-11	1399.13705583756	403.472081218274	614.218664584147	1056.73643108161	0	0	932.090589613432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722.345177664977
GEL-2931847-11	0	588.88155922039	0	0	196.794602698651	187.28035982009	838.755622188905	209.313343328336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316.974512743628
GEL-2664348-11	0	398.367827529022	0	107.964179104478	192.436152570481	0	391.869983416252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416.361857379767
GEL-2978745-11	0	906.834173465676	3477.03268721093	0	2187.92532349426	896.813906355558	0	960.442602504807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1211.95130696877
GEL-2715159-11	4444.53235838754	705.536964056787	0	2865.21114856844	0	0	1005.47780257348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1525.24172641375
GEL-2717200-11	0	1176.50608733688	934.785740322228	734.187941969819	705.6027557046	667.489174017642	1053.63993584603	1121.34169278997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485.446672012831
GEL-2056654-11	0	772.861094761625	0	294.565921130077	0	264.610064743967	1231.1856974691	295.56444967628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534.212772218951
GEL-2175170-11	0	690.753980347853	3611.32783353476	0	1704.12658294362	903.332142294151	1152.42372970417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1457.03573117545
GEL-2089832-11	0	936.843572621035	826.362020033389	425.928881469115	1101.31611018364	636.893656093489	910.847913188648	715.380550918197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435.427295492487
GEL-2601203-11	1494.22939206012	1392.24786111991	8409.47702684351	0	5655.47578199267	0	0	1566.21635507673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3569.35358290706
GEL-2490555-11	0	954.734060884549	2952.45491097071	0	1604.09362435382	990.336013785181	692.984491671453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1535.39689833429
GEL-2675423-11	0	616.575288246429	1127.72319738427	0	456.685424195491	1237.64747891929	1631.87592496988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736.49268628464
